,371,3198.014,371,1670.146,326,6681.295,326,5714.25,425,4049.525,425,2602.315,425,8399.678,445,2064.126,445,6009.474,445,3892.169,445,310.917,445,14422.784,445,4397.373,355,2302.027,355,8354.515,355,5080.475,355,246.296,355,19919.691,355,5918.102,445,18068.008,445,6431.837,445,5981.203,445,4187.549,445,22591.453,445,16023.285,355,20367.328,355,6964.516,355,6670.167,355,4053.582,355,24104.762,355,17484.258,445,6547.071,425,9805.091,425,14182.787,445,6157.325,355,10578.441,355,9016.171,355,2624.991,425,130.111,430,3928.977,305,11513.722
,372,3364.153,372,1810.531,327,6689.457,327,5717.632,430,3602.481,430,2451.8,430,7175.745,450,1805.21,450,5358.603,450,3469.443,450,307.034,450,13075.396,450,4034.833,360,1913.88,360,8052.295,360,4965.872,360,227.985,360,21124.043,360,6210.197,450,16541.227,450,5937.438,450,5549.444,450,3927.283,450,20703.195,450,14795.171,360,20408.205,360,7494.254,360,6880.373,360,3949.995,360,25307.152,360,17722.18,450,6052.498,430,9478.256,430,12727.46,450,5672.641,360,8938.708,360,7759.01,360,1844.105,430,126.749,435,3214.663,310,11770.762
,373,3535.279,373,1950.096,328,6689.035,328,5733.178,435,3110.281,435,2248.626,435,5975.886,455,1551.094,455,4637.383,455,3049.687,455,287.531,455,11559.537,455,3580.184,365,1715.196,365,7186.353,365,4423.649,365,195.619,365,21255.941,365,6124.815,455,14828.176,455,5366.598,455,5106.361,455,3644.717,455,18412.943,455,13366.556,365,19206.775,365,7539.33,365,6701.031,365,3688.774,365,25920.037,365,17537.332,,,435,8760.732,435,10958.411,,,365,6648.211,365,6013.316,365,1156.372,435,137.799,440,2619.416,315,11534.166
,374,3736.374,374,2114.426,329,6670.89,329,5723.872,440,2693.752,440,2036.132,440,4921.62,460,1277.41,460,3879.573,460,2533.21,460,269.53,460,9745.41,460,3097.639,370,1483.289,370,5438.003,370,3397.591,370,185.705,370,19213.336,370,5643.098,460,12753.853,460,4709.637,460,4602.211,460,3233.689,460,15750.996,460,11630.845,370,15758.163,370,6712.199,370,5744.497,370,3249.132,370,24371.684,370,16572.768,,,440,7945.585,440,9428.556,,,370,4070.962,370,4110.322,370,726.944,440,121.217,445,2147.721,320,11861.177
,375,3920.449,375,2257.012,330,6656.786,330,5702.993,445,2327.74,445,1874.994,445,4094.913,465,1055.056,465,3189.841,465,2133.547,465,250.812,465,8196.049,465,2643.841,375,1199.915,375,3666.94,375,2362.99,375,153.023,375,16162.653,375,4726.5,465,10884.875,465,4148.859,465,4166.012,465,2871.767,465,13269.509,465,10014.063,375,11461.341,375,5050.189,375,4117.647,375,2742.979,375,21232.836,375,14587.846,,,445,7170.68,445,8170.303,,,375,2515.83,375,2971.634,375,608.888,445,137.908,450,1780.671,325,12100.534
,376,4104.735,376,2422.117,331,6632.092,331,5677.31,450,2085.313,450,1756.083,450,3416.564,470,857.13,470,2591.238,470,1743.786,470,225.627,470,6686.624,470,2210.663,380,927.511,380,2332.74,380,1526.101,380,134.724,380,12587.82,380,3740.656,470,9097.098,470,3580.461,470,3720.339,470,2460.896,470,10926.111,470,8452.812,380,7794.608,380,3427.072,380,2606.056,380,2307.737,380,16749.096,380,11992.738,,,450,6644.091,450,7048.108,,,,,,,,,450,127.803,,,330,12197.376
,377,4265.909,377,2574.962,332,6607.2,332,5662.48,,,,,,,475,704.202,475,2114.171,475,1423.191,475,218.837,475,5488.1,475,1880.93,385,646.832,385,1250.771,385,819.529,385,115.424,385,8304.314,385,2528.159,475,7684.109,475,3207.589,475,3386.694,475,2111.317,475,9116.945,475,7193.173,385,4184.583,385,1885.151,385,1292.618,385,1829.895,385,11493.433,385,8351.28,,,,,,,,,,,,,,,,,,,335,12178.993
,378,4489.599,378,2762.405,333,6562.829,333,5635.189,,,,,,,480,584.04,480,1769.616,480,1205.369,480,195.882,480,4573.59,480,1608.331,390,429.226,390,633.957,390,412.87,390,125.243,390,4822.274,390,1543.861,480,6527.108,480,2929.219,480,3122.116,480,1838.775,480,7637.642,480,6197.988,390,2037.327,390,940.088,390,620.939,390,1380.054,390,6747.12,390,4924.258,,,,,,,,,,,,,,,,,,,340,11543.218
,379,4667.02,379,2915.824,334,6535.343,334,5594.151,,,,,,,485,481.419,485,1442.78,485,984.686,485,195.658,485,3732.651,485,1392.066,,,,,,,,,,,,,485,5549.267,485,2652.204,485,2922.148,485,1573.152,485,6381.814,485,5338.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,9734.482
,380,4852.111,380,3069.956,335,6477.592,335,5575.493,,,,,,,490,391.615,490,1183.97,490,822.992,490,175.954,490,3060.653,490,1180.049,,,,,,,,,,,,,490,4705.179,490,2471.871,490,2747.001,490,1333.676,490,5298.314,490,4514.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,6407.751
,381,5049.006,381,3241.894,336,6418.373,336,5513.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,4030.95,495,2317.06,495,2607.081,495,1170.195,495,4475.14,495,3929.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,382,5207.793,382,3419.162,337,6386.424,337,5476.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,3496.698,500,2186.545,500,2518.865,500,1025.616,500,3782.454,500,3450.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,383,5397.506,383,3587.198,338,6309.167,338,5393.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,384,5530.604,384,3707.018,339,6239.299,339,5302.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,385,5719.182,385,3892.169,340,6145.063,340,5188.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,386,5856.219,386,4040.58,341,6082.813,341,5127.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,387,5983.515,387,4162.989,342,5960.256,342,5029.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,388,6102.234,388,4299.951,343,5873.648,343,4925.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,389,6249.126,389,4461.452,344,5753.006,344,4810.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,390,6348.693,390,4572.971,345,5622.515,345,4681.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,391,6457.958,391,4683.988,346,5505.101,346,4547.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,392,6538.439,392,4775.47,347,5378.467,347,4419.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,393,6604.728,393,4876.485,348,5206.316,348,4283.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,394,6693.997,394,4973.398,349,5070.63,349,4114.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395,6736.477,395,5036.823,350,4891.473,350,3975.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,396,6784.757,396,5104.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,397,6821.663,397,5169.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,398,6833.307,398,5211.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,399,6869.169,399,5264.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,400,6852.05,400,5289.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,401,6888.125,401,5357.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,402,6915.853,402,5404.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
