,40,24239.91167,40,1141.698333,40,21013.301,40,1026.409,40,28668.73,40,882.665,125,8638.5905,125,9394.314333,125,9624.831667,125,2354.373,125,2897.285667,125,3011.954667,125,3071.378667,125,2328.14,125,520.3553333,125,579.284,125,606.999,125,581.842,125,351.8496667,125,603.769,125,600.7966667,125,626.1283333,125,475.7656667,125,7092.422333,125,6026.107,125,6134.293333,300,13988.733,300,3862.594667,300,6194.979667,300,2625.078333,300,9825.735,300,2098.016,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,,125,
,48,24082.16467,48,1183.658333,48,20917.631,48,1024.656,48,28737.205,48,892.569,150,8390.271,150,9024.679,150,9247.954667,150,2359.4815,150,2835.871,150,2951.073333,150,3005.245,150,2342.537,150,527.8906667,150,590.781,150,617.7203333,150,618.999,150,358.7426667,150,611.9203333,150,630.306,150,638.1166667,150,481.6223333,150,7430.322333,150,6405.692333,150,6501.389333,360,13952.95267,360,3895.244,360,6159.569333,360,2646.645667,360,9810.818,360,2118.603333,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,,150,
,56,23841.90867,56,1233.586667,56,20821.527,56,1029.834,56,28397.047,56,906.371,175,8100.256,175,8708.123333,175,8888.740333,175,2365.607,175,2804.732333,175,2900.554,175,2952.841333,175,2305.801,175,535.6496667,175,602.4445,175,638.6063333,175,627.707,175,362.284,175,629.3773333,175,637.1966667,175,645.0776667,175,473.9033333,175,7737.215667,175,6775.063333,175,6886.829333,420,13927.413,420,3943.793333,420,6183.848667,420,2682.733667,420,9786.125333,420,2136.599667,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,
,64,23636.94433,64,1256.165667,64,20696.779,64,1066.659,64,28655.361,64,889.836,200,7816.3295,200,8347.237,200,8538.954333,200,2366.7185,200,2738.588,200,2851.466333,200,2895.513667,200,2353.411,200,545.718,200,619.8235,200,661.2766667,200,649.429,200,369.0403333,200,629.6723333,200,641.59,200,665.0146667,200,489.5296667,200,8070.356333,200,7100.885,200,7238.949667,480,13924.41267,480,4000.421333,480,6180.210333,480,2722.207,480,9782.192333,480,2145.741667,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,,200,
,72,23411.05267,72,1322.364667,72,20426.73,72,1078.049,72,28536.299,72,888.658,225,7529.4075,225,8031.879333,225,8207.243333,225,2375.407,225,2717.770333,225,2787.928,225,2851.028333,225,2317.0355,225,553.215,225,630.0415,225,669.4593333,225,662.8543333,225,374.304,225,637.5346667,225,664.8733333,225,673.673,225,494.242,225,8353.154333,225,7429.939667,225,7585.664667,540,13901.677,540,4021.455667,540,6168.742,540,2752.183,540,9778.302667,540,2188.111667,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,,225,
,80,23313.26867,80,1349.315333,80,20322.896,80,1075.207,80,28560.074,80,922.076,250,7279.154,250,7738.337333,250,7897.443667,250,2370.819,250,2644.805,250,2750.666333,250,2801.460667,250,2352.6785,250,560.5506667,250,642.2045,250,683.513,250,678.267,250,378.4286667,250,643.7403333,250,675.285,250,666.8543333,250,495.3963333,250,8670.596667,250,7740.766667,250,7878.252333,600,13852.501,600,4092.609,600,6108.970667,600,2802.997,600,9787.869333,600,2215.693333,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,,250,
,88,23020.47833,88,1421.587333,88,20121.344,88,1060.091,88,28550.832,88,925.574,275,6977.0395,275,7439.749,275,7603.851333,275,2337.1115,275,2604.812333,275,2699.712333,275,2727.645667,275,2342.329,275,569.8763333,275,654.4005,275,694.351,275,696.2953333,275,382.7913333,275,656.5013333,275,685.3053333,275,704.8666667,275,502.6263333,275,8936.65,275,8043.416,275,8212.109667,660,13795.04867,660,4149.111667,660,6117.729667,660,2825.914,660,9773.409,660,2243.779667,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,,275,
,96,22855.79567,96,1457.428,96,20027.391,96,1087.518,96,28588.299,96,933.742,300,6752.134,300,7151.184667,300,7323.666667,300,2365.4995,300,2562.620333,300,2654.830667,300,2707.648667,300,2327.268,300,579.541,300,665.946,300,711.241,300,699.9683333,300,390.5576667,300,672.877,300,696.2166667,300,726.628,300,512.7243333,300,9193.030333,300,8361.517333,300,8514.469333,720,13798.46033,720,4201.978667,720,6135.718667,720,2863.88,720,9716.653667,720,2257.529333,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,,300,
,104,22638.421,104,1499.928,104,19867.568,104,1090.92,104,28579.768,104,928.559,325,6513.987,325,6869.883,325,7035.071333,325,2358.444,325,2520.036667,325,2604.139,325,2674.136667,325,2324.892,325,590.7366667,325,670.7215,325,722.1933333,325,724.4703333,325,395.005,325,674.3443333,325,710.6443333,325,729.126,325,516.1853333,325,9441.205333,325,8635.000333,325,8748.148333,780,13768.83267,780,4217.852667,780,6092.777,780,2880.022,780,9741.650333,780,2274.403667,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,,325,
,112,22454.85567,112,1528.656333,112,19710.498,112,1094.99,112,28520.08,112,951.302,350,6255.813,350,6609.795667,350,6766.712667,350,2342.897,350,2463.353667,350,2568.335333,350,2603.967667,350,2333.369,350,597.4183333,350,684.149,350,737.683,350,722.3126667,350,401.1286667,350,680.3413333,350,712.868,350,747.371,350,518.097,350,9691.992667,350,8885.383333,350,9051.712333,840,13759.82767,840,4278.046,840,6107.599,840,2921.673667,840,9730.933333,840,2301.040667,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,,350,
,120,22271.88133,120,1597.304,120,19581.252,120,1109.658,120,28494.746,120,939.337,375,6016.3965,375,6328.067333,375,6508.068333,375,2349.671,375,2420.891,375,2530.004,375,2555.838667,375,2333.8,375,608.208,375,689.2505,375,747.7233333,375,743.1953333,375,408.1143333,375,683.7043333,375,730.0286667,375,752.809,375,525.3193333,375,9819.5715,375,9172.283667,375,9328.337667,900,13773.49467,900,4347.945333,900,6114.015,900,2948.931,900,9733.333667,900,2329.563333,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,,375,
,128,22098.27367,128,1629.935333,128,19539.621,128,1120.709,128,28540.494,128,955.518,400,5792.775,400,6079.342,400,6273.263667,400,2359.0545,400,2397.42,400,2477.658333,400,2519.526667,400,2309.451,400,625.4266667,400,698.6735,400,754.336,400,757.6746667,400,415.954,400,708.8416667,400,732.625,400,776.8606667,400,527.764,400,9953.278,400,9426.784,400,9581.008,960,13684.95567,960,4385.697333,960,6086.034333,960,3005.556,960,9720.352333,960,2340.38,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,,400,
,136,21894.06733,136,1695.33,136,19404.738,136,1141.788,136,28523.646,136,963.549,425,5582.9115,425,5874.038667,425,6049.926667,425,2344.888,425,2335.053333,425,2442.657,425,2460.697333,425,2330.423,425,633.7986667,425,708.119,425,771.902,425,763.6173333,425,424.7843333,425,704.3633333,425,751.6726667,425,771.635,425,540.861,,,425,9687.168667,425,9713.247,1020,13687.107,1020,4433.315667,1020,6079.745667,1020,3022.273,1020,9716.393,1020,2372.418,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,,425,
